shot_type,made_shot,shot_value,coordinate_x,coordinate_y,home_score,away_score,qtr,quarter_seconds_remaining,game_seconds_remaining,shot_group,distance,shot_group_encoded,shot_type_encoded
Jump Shot,False,0,-13,9,0,0,1,571,2371,Jump Shot,15.811388300841896,3,29
Turnaround Bank Jump Shot,False,0,0,0,0,0,1,551,2351,Jump Shot,0.0,3,8
Cutting Layup Shot,True,2,-21,2,0,2,1,538,2338,Layup,21.095023109728988,1,25
Driving Layup Shot,True,2,0,0,2,2,1,524,2324,Layup,0.0,1,14
Jump Shot,True,3,0,21,2,5,1,512,2312,Jump Shot,21.0,3,29
Cutting Layup Shot,True,2,-23,0,4,5,1,490,2290,Layup,23.0,1,25
Driving Layup Shot,True,2,0,3,4,7,1,478,2278,Layup,3.0,1,14
Free Throw - 1 of 1,True,1,-25,15,4,8,1,478,2278,Free Throw,29.154759474226502,6,54
Pullup Jump Shot,True,2,0,4,6,8,1,461,2261,Jump Shot,4.0,3,37
Pullup Jump Shot,False,0,0,16,6,8,1,436,2236,Jump Shot,16.0,3,37
Pullup Jump Shot,False,0,-19,23,6,8,1,427,2227,Jump Shot,29.832867780352597,3,37
Jump Shot,True,2,-20,9,8,8,1,423,2223,Jump Shot,21.93171219946131,3,29
Jump Shot,False,0,-8,19,8,8,1,415,2215,Jump Shot,20.615528128088304,3,29
Alley Oop Dunk Shot,True,2,-23,3,8,10,1,401,2201,Dunk,23.194827009486403,0,41
Turnaround Jump Shot,True,2,-24,2,10,10,1,390,2190,Jump Shot,24.08318915758459,3,13
Jump Shot,False,0,-2,10,10,10,1,367,2167,Jump Shot,10.198039027185569,3,29
Driving Layup Shot,False,0,-21,0,10,10,1,359,2159,Layup,21.0,1,14
Layup Shot,True,2,0,0,12,10,1,330,2130,Layup,0.0,1,18
Layup Shot,True,2,-21,3,12,12,1,316,2116,Layup,21.213203435596427,1,18
Jump Shot,True,3,-2,15,15,12,1,306,2106,Jump Shot,15.132745950421556,3,29
Pullup Jump Shot,True,2,-25,17,15,14,1,297,2097,Jump Shot,30.23243291566195,3,37
Driving Layup Shot,True,2,0,1,17,14,1,285,2085,Layup,1.0,1,14
Jump Shot,True,3,0,15,20,14,1,264,2064,Jump Shot,15.0,3,29
Jump Shot Bank,False,0,-15,6,20,14,1,204,2004,Jump Shot,16.15549442140351,3,21
Layup Shot,True,2,-23,0,22,14,1,193,1993,Layup,23.0,1,18
Layup Shot,True,2,-23,0,24,14,1,171,1971,Layup,23.0,1,18
Reverse Layup Shot,True,2,0,0,26,14,1,132,1932,Layup,0.0,1,12
Free Throw - 1 of 1,True,1,-25,15,27,14,1,132,1932,Free Throw,29.154759474226502,6,54
Driving Layup Shot,False,0,0,3,27,14,1,118,1918,Layup,3.0,1,14
Layup Shot Putback,True,2,0,3,27,16,1,114,1914,Layup,3.0,1,35
Free Throw - 1 of 2,True,1,-25,15,28,16,1,99,1899,Free Throw,29.154759474226502,6,53
Free Throw - 2 of 2,True,1,-25,15,29,16,1,99,1899,Free Throw,29.154759474226502,6,52
Jump Shot,False,0,-2,12,29,16,1,76,1876,Jump Shot,12.165525060596439,3,29
Pullup Jump Shot,False,0,-22,20,29,16,1,46,1846,Jump Shot,29.732137494637012,3,37
Jump Shot,False,0,-2,7,29,16,1,33,1833,Jump Shot,7.280109889280518,3,29
Jump Shot,False,0,-25,18,29,16,1,13,1813,Jump Shot,30.805843601498726,3,29
Free Throw - 1 of 2,True,1,-25,15,30,16,1,0,1800,Free Throw,29.154759474226502,6,53
Free Throw - 2 of 2,True,1,-25,15,31,16,1,0,1800,Free Throw,29.154759474226502,6,52
Jump Shot,False,0,0,20,31,16,2,583,1783,Jump Shot,20.0,3,29
Jump Shot,False,0,0,0,31,16,2,567,1767,Jump Shot,0.0,3,29
Driving Layup Shot,True,2,0,3,31,18,2,560,1760,Layup,3.0,1,14
Layup Shot,False,0,0,3,31,18,2,546,1746,Layup,3.0,1,18
Jump Shot,False,0,0,19,31,18,2,526,1726,Jump Shot,19.0,3,29
Pullup Jump Shot,False,0,-17,19,31,18,2,506,1706,Jump Shot,25.495097567963924,3,37
Pullup Jump Shot,False,0,0,14,31,18,2,488,1688,Jump Shot,14.0,3,37
Hook Shot,False,0,-20,2,31,18,2,478,1678,Hook Shot,20.09975124224178,2,30
Pullup Jump Shot,False,0,-24,17,31,18,2,473,1673,Jump Shot,29.410882339705484,3,37
Reverse Layup Shot,False,0,-22,2,31,18,2,457,1657,Layup,22.090722034374522,1,12
Jump Shot,False,0,0,15,31,18,2,449,1649,Jump Shot,15.0,3,29
Running Layup Shot,False,0,-21,0,31,18,2,441,1641,Layup,21.0,1,26
Jump Shot,False,0,0,25,31,18,2,420,1620,Jump Shot,25.0,3,29
Free Throw - 1 of 2,True,1,-25,15,32,18,2,397,1597,Free Throw,29.154759474226502,6,53
Free Throw - 2 of 2,True,1,-25,15,33,18,2,397,1597,Free Throw,29.154759474226502,6,52
Step Back Jump Shot,True,2,-20,17,33,20,2,375,1575,Jump Shot,26.248809496813376,3,31
Turnaround Fade Away Jump Shot,True,2,0,4,35,20,2,357,1557,Jump Shot,4.0,3,6
Free Throw - 1 of 1,False,0,-25,15,35,20,2,357,1557,Free Throw,29.154759474226502,6,54
Free Throw - 1 of 2,True,1,-25,15,35,21,2,340,1540,Free Throw,29.154759474226502,6,53
Free Throw - 2 of 2,False,0,-25,15,35,21,2,340,1540,Free Throw,29.154759474226502,6,52
Fade Away Jump Shot,False,0,0,0,35,21,2,315,1515,Jump Shot,0.0,3,4
Layup Shot,True,2,-21,3,35,23,2,305,1505,Layup,21.213203435596427,1,18
Free Throw - 1 of 1,True,1,-25,15,35,24,2,305,1505,Free Throw,29.154759474226502,6,54
Jump Shot Bank,False,0,-20,3,35,24,2,276,1476,Jump Shot,20.223748416156685,3,21
Free Throw - 1 of 2,True,1,-25,15,35,25,2,268,1468,Free Throw,29.154759474226502,6,53
Free Throw - 2 of 2,False,0,-25,15,35,25,2,268,1468,Free Throw,29.154759474226502,6,52
Layup Shot,True,2,-22,15,37,25,2,252,1452,Layup,26.627053911388696,1,18
Pullup Jump Shot,False,0,-8,19,37,25,2,241,1441,Jump Shot,20.615528128088304,3,37
Free Throw - 1 of 2,True,1,-25,15,38,25,2,240,1440,Free Throw,29.154759474226502,6,53
Free Throw - 2 of 2,True,1,-25,15,39,25,2,240,1440,Free Throw,29.154759474226502,6,52
Driving Layup Shot,True,2,0,1,41,25,2,216,1416,Layup,1.0,1,14
Cutting Layup Shot,True,2,0,3,41,27,2,204,1404,Layup,3.0,1,25
Pullup Jump Shot,False,0,0,3,41,27,2,179,1379,Jump Shot,3.0,3,37
Jump Shot,False,0,-2,6,41,27,2,171,1371,Jump Shot,6.324555320336759,3,29
Driving Layup Shot,True,2,-20,3,43,27,2,161,1361,Layup,20.223748416156685,1,14
Free Throw - 1 of 1,True,1,-25,15,44,27,2,161,1361,Free Throw,29.154759474226502,6,54
Floating Jump Shot,False,0,-20,2,44,27,2,139,1339,Jump Shot,20.09975124224178,3,28
Jump Shot,False,0,0,24,44,27,2,132,1332,Jump Shot,24.0,3,29
Jump Shot,True,2,-14,17,46,27,2,127,1327,Jump Shot,22.02271554554524,3,29
Jump Shot,False,0,-12,24,46,27,2,102,1302,Jump Shot,26.832815729997478,3,29
Free Throw - 1 of 2,True,1,-25,15,47,27,2,84,1284,Free Throw,29.154759474226502,6,53
Free Throw - 2 of 2,True,1,-25,15,48,27,2,84,1284,Free Throw,29.154759474226502,6,52
Layup Shot,True,2,0,3,48,29,2,72,1272,Layup,3.0,1,18
Jump Shot,True,2,-22,13,50,29,2,62,1262,Jump Shot,25.553864678361276,3,29
Layup Shot,False,0,0,3,50,29,2,44,1244,Layup,3.0,1,18
Layup Shot,True,2,-24,1,50,31,2,42,1242,Layup,24.020824298928627,1,18
